epoch 5, minibatch 244/244, test error of best model 38.833333 %
epoch 10, minibatch 244/244, test error of best model 38.833333 %
epoch 15, minibatch 244/244, test error of best model 38.833333 %
epoch 20, minibatch 244/244, test error of best model 38.833333 %
epoch 25, minibatch 244/244, test error of best model 38.833333 %
epoch 30, minibatch 244/244, test error of best model 38.833333 %
epoch 35, minibatch 244/244, test error of best model 38.833333 %
epoch 40, minibatch 244/244, test error of best model 38.833333 %
epoch 45, minibatch 244/244, test error of best model 39.900000 %
epoch 50, minibatch 244/244, test error of best model 45.700000 %
epoch 55, minibatch 244/244, test error of best model 53.433333 %
epoch 60, minibatch 244/244, test error of best model 60.533333 %
epoch 65, minibatch 244/244, test error of best model 65.266667 %
epoch 70, minibatch 244/244, test error of best model 68.033333 %
epoch 75, minibatch 244/244, test error of best model 69.966667 %
epoch 80, minibatch 244/244, test error of best model 71.433333 %
epoch 85, minibatch 244/244, test error of best model 72.500000 %
epoch 90, minibatch 244/244, test error of best model 73.233333 %
epoch 95, minibatch 244/244, test error of best model 73.766667 %
epoch 100, minibatch 244/244, test error of best model 74.233333 %
epoch 105, minibatch 244/244, test error of best model 74.200000 %
epoch 110, minibatch 244/244, test error of best model 74.266667 %
epoch 115, minibatch 244/244, test error of best model 74.433333 %
epoch 120, minibatch 244/244, test error of best model 74.766667 %
epoch 125, minibatch 244/244, test error of best model 74.833333 %
epoch 130, minibatch 244/244, test error of best model 74.833333 %
epoch 135, minibatch 244/244, test error of best model 74.933333 %
epoch 140, minibatch 244/244, test error of best model 75.000000 %
epoch 145, minibatch 244/244, test error of best model 75.466667 %
epoch 150, minibatch 244/244, test error of best model 75.966667 %
epoch 155, minibatch 244/244, test error of best model 76.433333 %
epoch 160, minibatch 244/244, test error of best model 76.900000 %
epoch 165, minibatch 244/244, test error of best model 77.233333 %
epoch 170, minibatch 244/244, test error of best model 77.633333 %
epoch 175, minibatch 244/244, test error of best model 78.033333 %
epoch 180, minibatch 244/244, test error of best model 78.566667 %
epoch 185, minibatch 244/244, test error of best model 78.833333 %
epoch 190, minibatch 244/244, test error of best model 79.300000 %
epoch 195, minibatch 244/244, test error of best model 79.400000 %
epoch 200, minibatch 244/244, test error of best model 79.533333 %
epoch 205, minibatch 244/244, test error of best model 79.833333 %
epoch 210, minibatch 244/244, test error of best model 80.066667 %
epoch 215, minibatch 244/244, test error of best model 80.200000 %
epoch 220, minibatch 244/244, test error of best model 80.466667 %
epoch 225, minibatch 244/244, test error of best model 80.533333 %
epoch 230, minibatch 244/244, test error of best model 80.766667 %
epoch 235, minibatch 244/244, test error of best model 80.933333 %
epoch 240, minibatch 244/244, test error of best model 81.200000 %
epoch 245, minibatch 244/244, test error of best model 81.400000 %
epoch 250, minibatch 244/244, test error of best model 81.566667 %
epoch 255, minibatch 244/244, test error of best model 81.766667 %
epoch 260, minibatch 244/244, test error of best model 81.933333 %
epoch 265, minibatch 244/244, test error of best model 82.166667 %
epoch 270, minibatch 244/244, test error of best model 82.233333 %
epoch 275, minibatch 244/244, test error of best model 82.200000 %
epoch 280, minibatch 244/244, test error of best model 82.266667 %
